id	claim	source_url	source_locator	status
07-wallet-availability	Member States must provide at least one EUDI Wallet within 24 months of the relevant implementing acts; wallet use is voluntary and existing access means must remain available.	https://eur-lex.europa.eu/eli/reg/2024/1183/oj/eng	wallet-availability.txt	verified
07-clock-start	Commission Implementing Regulation (EU) 2024/2981 was published on 4 December 2024 and entered into force on the twentieth day following publication.	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R2981	clock-start.txt	verified
07-protocol-clock	Commission Implementing Regulation (EU) 2024/2982, the protocols and interfaces act under Article 5a(23), was published on 4 December 2024 and entered into force on the twentieth day following publication.	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R2982	protocol-clock.txt	verified
07-deadline-calculation	Both relevant act families entered into force on 24 December 2024; applying the 24- and 36-month periods in Regulation (EU) 2024/1183 yields working dates of 24 December 2026 and 24 December 2027.	https://eur-lex.europa.eu/eli/reg/2024/1183/oj/eng	author date arithmetic from 07-wallet-availability, 07-acceptance-scope, 07-clock-start and 07-protocol-clock	inference
07-acceptance-scope	Public bodies must accept wallets where Member States require e-identification for an online service; covered non-small private parties and very large online platforms have narrower acceptance duties triggered by strong authentication and user request.	https://eur-lex.europa.eu/eli/reg/2024/1183/oj/eng	acceptance-scope.txt	verified
07-private-list	Article 5f(2) lists transport, energy, banking, financial services, social security, health, drinking water, postal services, digital infrastructure, education and telecommunications as areas included in the conditional private acceptance rule.	https://eur-lex.europa.eu/eli/reg/2024/1183/oj/eng	private-list.txt	verified
07-target-not-automatic	Pre-employment screening is not named in Article 5f(2); a particular screener would need to satisfy the rule's separate legal-or-contractual strong-authentication condition.	https://eur-lex.europa.eu/eli/reg/2024/1183/oj/eng	author legal inference from Article 5f(2); requires counsel for a specific workflow	inference
07-rp-duties	A wallet relying party must register where established, declare identity, contacts, intended use and requested data, request no other data, update changes, identify itself and validate credentials; intermediaries are deemed relying parties and may not store transaction-content data.	https://eur-lex.europa.eu/eli/reg/2024/1183/oj/eng	rp-duties.txt	verified
07-registration-act	Implementing Regulation (EU) 2025/848 applies from 24 December 2026 and requires national registers, registration policies, public interfaces and access-certificate authorities, while registration certificates are optional; registrars must verify application information against supporting documents or official records and verify entitlements, and parties must update information.	https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32025R0848	registration-act.txt	verified
07-nl-status	The Dutch Digital Government says the public NL Wallet is still in development and will arrive later because national implementing legislation is being prepared, with public consultation expected near the end of 2026.	https://www.digitaleoverheid.nl/overzicht-van-alle-onderwerpen/identiteit/id-wallet/	nl-status.txt	verified
07-nl-prerelease	The Dutch government repository's 27 March 2026 v0.5.0 pre-release includes issuance and verification servers and a web integration helper.	https://github.com/MinBZK/nl-wallet/releases	nl-prerelease.txt	verified
07-spec-update	The Commission records that Implementing Regulation (EU) 2026/1731 amended implementing acts on protocols, trust, person-identification data and core wallet functions.	https://ec.europa.eu/digital-building-blocks/sites/spaces/EUDIGITALIDENTITYWALLET/pages/915931811/The+European+Digital+Identity+Regulation	spec-update.txt	verified
07-job-use-case	The Dutch NL Wallet repository uses sharing a digital diploma during a job application as an example.	https://github.com/MinBZK/nl-wallet	job-use-case.txt	verified
07-demand-gap	The reviewed primary and vendor sources establish law, technical availability and marketed products, but do not establish payment by a mid-size Dutch pre-employment screener for an independent EUDI acceptance operator.		search-record boundary; must be tested through paid discovery	inference
07-signicat	Signicat markets support for 27+ wallets and 35+ eIDs plus EUDI assessment, integration and relying-party registration support.	https://www.signicat.com/eudi-wallet-integration-checklist	signicat.txt	verified
07-datakeeper-market	Datakeeper markets wallet-based identity and financial-data sharing for real estate and social housing.	https://www.datakeeper.nl/	datakeeper-market.txt	verified
07-datakeeper-api	Datakeeper documents a verifier API using sessions, QR codes, webhooks and a multi-tenant service-provider architecture.	https://docs.developer.rabobank.com/identity-risk/reference/datakeeper-documentation	datakeeper-api.txt	verified
07-yivi	Yivi documents operational OpenID4VP disclosure of SD-JWT credentials and an end-to-end verifier flow.	https://docs.yivi.app/openid4vp-introduction/	yivi.txt	verified
07-verid	Ver.iD labels Datakeeper, Digidentity and Yivi wallet integrations as production and EUDI Wallet and NL Wallet integrations as testing as of 20 August 2026.	https://docs.ver.id/overview/apps/wallets/introduction	verid.txt	verified
07-sphereon	Sphereon markets EUDI credential verification, trust resolution, policy enforcement, status checks and audit evidence.	https://sphereon.com/sphereon-vdx-verifiable-data-exchange/	sphereon.txt	verified
